workload_type,engine,ad_mode,M,instance_type,mean_runtime_ms,throughput_paths_per_sec,cost_per_run,paths_per_dollar,region,zone,machine_family,vcpu_count
european,cpu,none,1000,,0.08094766667454678,12353660.59432619,8.094766667454678e-08,,,,,
european,jax,none,1000,,0.5951799999669068,1680163.9840982591,5.951799999669069e-07,,,,,
european,jax,forward,1000,,2.107029666603921,474601.7656276217,2.107029666603921e-06,,,,,
european,jax,reverse,1000,,2.3413826666001114,427098.06229670515,2.3413826666001116e-06,,,,,
european,cpp,none,1000,,0.019258999979380558,51923775.952574864,1.925899997938056e-08,,,,,
european,rust,none,1000,,0.6907339998936853,1447735.3078810591,6.907339998936853e-07,,,,,
european_local_vol,cpu,none,1000,,15.125995999900018,66111.34896549027,1.512599599990002e-05,,,,,
european_local_vol,jax,none,1000,,10.010629666718765,99893.81620265002,1.0010629666718765e-05,,,,,
european_local_vol,jax,forward,1000,,48.44876733333573,20640.36001411203,4.844876733333573e-05,,,,,
european_local_vol,jax,reverse,1000,,23.959774999942358,41736.61897920184,2.3959774999942357e-05,,,,,
european_local_vol,cpp,none,1000,,5.880650000032499,170049.22925092865,5.880650000032498e-06,,,,,
european_local_vol,rust,none,1000,,6.387469000022368,156556.5327982802,6.387469000022368e-06,,,,,
asian,cpu,none,1000,,9.20851666675541,108595.12299197985,9.208516666755409e-06,,,,,
asian,jax,none,1000,,71.69712466664653,13947.560723661762,7.169712466664653e-05,,,,,
asian,jax,forward,1000,,374.3398920000042,2671.369045541074,0.00037433989200000425,,,,,
asian,jax,reverse,1000,,291.2407460000092,3433.5854915025125,0.00029124074600000917,,,,,
european,cpu,none,10000,,0.33778820002225984,29604349.705942992,3.3778820002225984e-06,,,,,
european,cpu,none,50000,,1.086165800006711,46033487.704815485,5.430829000033555e-05,,,,,
european,cpu,none,100000,,1.8475773999853118,54124931.38354853,0.00018475773999853117,,,,,
european,jax,none,10000,,0.6224266000117495,16066151.414176757,6.2242660001174955e-06,,,,,
european,jax,none,50000,,1.3879705999897851,36023817.79582938,6.939852999948926e-05,,,,,
european,jax,none,100000,,1.8395945999145624,54359802.97215722,0.00018395945999145625,,,,,
european,jax,forward,10000,,2.0784859999821492,4811194.302047684,2.078485999982149e-05,,,,,
european,jax,forward,50000,,2.953336000064155,16930007.286307365,0.00014766680000320774,,,,,
european,jax,forward,100000,,3.8220120000460156,26164229.729994576,0.00038220120000460157,,,,,
european,jax,reverse,10000,,2.558452999937799,3908611.962089246,2.558452999937799e-05,,,,,
european,jax,reverse,50000,,3.203494000035789,15607958.060618,0.00016017470000178946,,,,,
european,jax,reverse,100000,,3.929388400001699,25449253.120398268,0.0003929388400001699,,,,,
european,cpp,none,10000,,0.10389820004093053,96248058.15750913,1.0389820004093052e-06,,,,,
european,cpp,none,50000,,0.6713740000122925,74474138.10943605,3.356870000061462e-05,,,,,
european,cpp,none,100000,,1.111659200023496,89955626.68656582,0.0001111659200023496,,,,,
european,rust,none,10000,,0.18341999998483516,54519681.60956702,1.8341999998483516e-06,,,,,
european,rust,none,50000,,0.3019728000253963,165577826.86319742,1.5098640001269813e-05,,,,,
european,rust,none,100000,,0.49897259996214416,200411806.19454205,4.989725999621442e-05,,,,,
european_local_vol,cpu,none,10000,,102.57394739992378,97490.64215118068,0.0010257394739992378,,,,,
european_local_vol,cpu,none,50000,,512.7442810000048,97514.49572969403,0.02563721405000024,,,,,
european_local_vol,cpu,none,100000,,1004.5663428000353,99545.44139043047,0.10045663428000354,,,,,
european_local_vol,jax,none,10000,,87.03780519995234,114892.60301344864,0.0008703780519995234,,,,,
european_local_vol,jax,none,50000,,364.3171082000208,137243.07443873465,0.01821585541000104,,,,,
european_local_vol,jax,none,100000,,674.3379345999983,148293.60009135134,0.06743379345999984,,,,,
european_local_vol,jax,forward,10000,,442.56623279998166,22595.487994493047,0.004425662327999816,,,,,
european_local_vol,jax,forward,50000,,1548.2109653999487,32295.340310474756,0.07741054826999744,,,,,
european_local_vol,jax,forward,100000,,3148.75032380005,31758.63111283959,0.314875032380005,,,,,
european_local_vol,jax,reverse,10000,,208.020392599974,48072.210012746844,0.00208020392599974,,,,,
european_local_vol,jax,reverse,50000,,810.9627596000337,61655.11228241845,0.04054813798000168,,,,,
european_local_vol,jax,reverse,100000,,1548.8681687999815,64563.27401800576,0.15488681687999814,,,,,
european_local_vol,cpp,none,10000,,60.83712219997324,164373.3240229499,0.0006083712219997323,,,,,
european_local_vol,cpp,none,50000,,382.1981216000495,130822.20234541708,0.019109906080002476,,,,,
european_local_vol,cpp,none,100000,,667.8773445999013,149728.0912558967,0.06678773445999013,,,,,
european_local_vol,rust,none,10000,,49.447168199912994,202236.0503956543,0.0004944716819991299,,,,,
european_local_vol,rust,none,50000,,244.04222620000837,204882.57617770528,0.012202111310000418,,,,,
european_local_vol,rust,none,100000,,550.7693299999573,181564.21309808182,0.055076932999995734,,,,,
asian,cpu,none,10000,,62.268654000035895,160594.44612363447,0.000622686540000359,,,,,
asian,cpu,none,50000,,324.8862173999896,153900.03429551946,0.01624431086999948,,,,,
asian,cpu,none,100000,,644.4153912000274,155179.40968756264,0.06444153912000275,,,,,
